CITY 2,TO DEMAND
AHMEDABAD,8202
AIZAWL,5780
AJMER,225
AMRITSAR,13033
BAGDOGRA,36490
BELGAUM,9359
BENGALURU,786354
BHOPAL,78694
BHUBANESWAR,291829
BHUJ,4650
BIDAR ,419
"BIDAR AIRPORT, KARNATAKA",3131
BILASPUR,5014
CHANDIGARH,281990
CHENNAI,780212
COIMBATORE,502288
DABOLIM,835117
DARBHANGA,83138
DEHRA DUN,145788
DELHI,7566785
DHARAMSALA,88201
DIBRUGARH,185029
DIMAPUR,44490
DURGAPUR,148650
GAYA,42237
Gondia Airport,564
GORAKHPUR,173256
GUWAHATI,1324996
GWALIOR,57316
HUBLI,87128
HYDERABAD,3986400
IMPHAL,342561
INDORE,737821
JABALPUR,143449
JAGDALPUR,16272
JAIPUR,1103619
JAISALMER,30507
JALGAON,376
JAMMU,449760
JAMNAGAR,11531
JEYPORE,310
JHARSUGUDA,89232
JODHPUR,279964
JORHAT,27173
KADAPA,16489
KALABURAGI,3114
"KALABURAGI, KARNATAKA",34765
KANDLA,19760
KANNUR,101506
KANPUR,57286
KHAJURAHO,8542
KOCHI,1531187
KOLHAPUR,43519
KOLKATA,5629764
KOZHIKODE,175514
KULLU,13047
KURNOOL,9952
Kushinagar International Airport,13230
LEH,505804
LILABARI,14251
LUCKNOW,1481576
MADURAI,328553
MANGALORE,328097
MUMBAI,12618409
MYSORE,82746
NAGPUR,910055
NANDED,2530
NASIK,42937
PAKYONG,19692
PANTNAGAR,35368
PASIGHAT,5654
PATHANKOT,3824
PATNA,1737369
PONDICHERRY,31323
PORBANDAR,11269
PORT BLAIR,556910
PUNE,3469669
RAIPUR,1040625
RAJAHMUNDRY,175676
RAJKOT,354041
RANCHI,1097742
RUPSI,24372
SHILLONG,49153
SHIRDI,323142
SILCHAR,190598
SIMLA,3029
Sindhudurg Airport,19076
SRINAGAR,2123161
SURAT,580093
TEZPUR,1659
TEZU,9783
TIRUCHIRAPALLY,172170
TIRUPATI,413299
TRIVANDRUM,721943
TUTICORIN,96108
UDAIPUR,588167
VADODARA,492441
VARANASI,1124462
VIDYANAGAR,4617
VIJAYAWADA,374932
VISAKHAPATNAM,1100374
ZIRO,53
